# Acquisition started at 11/08/2022 - 12:06:46 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
278	011	2	10	0		725
279	011	2	10	14		682
280	011	2	10	15		734
281	011	2	10	30		713
282	011	2	10	2		680
283	011	2	10	30		765
284	011	2	10	10		827
285	011	2	10	30		729
286	011	2	10	0		698
287	011	2	10	6		757
288	011	2	10	17		765
289	011	2	10	20		737
290	011	2	10	15		708
291	011	2	10	10		729
292	011	2	10	13		785
293	011	2	10	15		717
294	011	2	10	24		681
295	011	2	10	2		686
296	011	2	10	11		731
297	011	2	10	26		735
298	011	2	10	30		810
299	011	2	10	9		699
300	011	2	10	14		880
301	011	2	10	26		714
302	011	2	10	4		743
303	011	2	10	15		717
304	011	2	10	1		714
305	011	2	10	4		862
306	011	2	10	30		812
307	011	2	10	31		676
308	011	2	10	21		685
309	011	2	10	1		746
310	011	2	10	30		730
311	011	2	10	30		739
312	011	2	10	27		697
313	011	2	10	26		701
314	011	2	10	30		733
315	011	2	10	30		709
316	011	2	10	0		700
317	011	2	10	29		747
318	011	2	10	30		710
319	011	2	10	0		701
320	011	2	10	9		746
321	011	2	10	11		709
322	011	2	10	23		729
323	011	2	10	20		722
324	011	2	10	30		722
325	011	2	10	30		742
326	011	2	10	18		692
327	011	2	10	5		669
328	011	2	10	21		733
329	011	2	10	20		677
330	011	2	10	6		727
331	011	2	10	6		797
332	011	2	10	2		690
333	011	2	10	30		721
334	011	2	10	4		783
335	011	2	11	0		0
336	011	2	10	10		742
337	011	2	10	30		817
338	011	2	10	21		743
339	011	2	10	29		756
340	011	2	10	1		727
341	011	2	10	0		695
342	011	2	10	6		756
343	011	2	10	6		750
344	011	2	10	19		735
345	011	2	10	30		738
346	011	2	10	17		693
347	011	2	10	26		722
348	011	2	10	23		673
349	011	2	10	1		733
350	011	2	10	20		789
351	011	2	10	16		738
352	011	2	10	30		701
353	011	2	10	27		750
354	011	2	10	24		688
355	011	2	10	1		715
356	011	2	10	10		778
357	011	2	10	9		693
358	011	2	10	29		714
359	011	2	10	20		721
360	011	2	10	6		720
361	011	2	10	10		745
362	000	2	00	6		857
362	011	2	10	9		738
363	011	2	10	1		731
364	011	2	10	3		695
365	011	2	10	21		697
366	011	2	10	11		682
367	011	2	10	30		736
368	011	2	10	31		755
369	011	2	10	22		741
370	011	2	10	14		693
371	011	2	10	0		777
372	011	2	10	10		730
373	011	2	10	20		747
