voltage	current
0	0.298
-10	0.325
-20	0.401
-30	0.466
-40	0.501
-50	0.525
-60	0.584
-70	0.700
-80	0.986
-90	1.142
-100	1.230
-110	1.259
-120	1.288
-130	1.340
-140	1.332
-150	1.317
-160	1.374
-170	1.369
-180	1.379
-190	1.366
-200	1.375
-210	1.377
-220	1.396
-230	1.404
-240	1.441
-250	1.457
