# Acquisition started at 14/09/2022 - 16:12:21 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
8	000	2	00	28		112
8	000	2	00	29		198
8	000	2	00	30		189
8	011	2	10	31		86
9	000	2	00	0		146
9	000	2	00	1		131
9	000	2	00	2		107
9	000	2	00	3		123
9	000	2	00	4		149
9	000	2	00	5		93
9	000	2	00	6		158
9	000	2	00	7		454
9	000	2	00	8		90
9	000	2	00	9		115
9	000	2	00	10		151
9	000	2	00	11		114
9	000	2	00	12		154
9	000	2	00	13		109
9	000	2	00	14		120
9	000	2	00	15		128
9	000	2	00	16		144
9	000	2	00	17		109
9	000	2	00	18		121
9	000	2	00	19		105
9	000	2	00	20		119
9	000	2	00	21		123
9	000	2	00	22		145
9	000	2	00	23		113
9	000	2	00	24		97
9	000	2	00	25		134
9	000	2	00	26		134
9	000	2	00	27		145
9	000	2	00	28		107
9	000	2	00	29		197
9	000	2	00	30		186
9	011	2	10	31		78
10	000	2	00	0		160
10	000	2	00	1		134
10	000	2	00	2		113
10	000	2	00	3		123
10	000	2	00	4		150
10	000	2	00	5		101
10	000	2	00	6		162
10	000	2	00	7		101
10	000	2	00	8		96
10	000	2	00	9		120
10	000	2	00	10		160
10	000	2	00	11		122
10	000	2	00	12		159
10	000	2	00	13		117
10	000	2	00	14		131
10	000	2	00	15		137
10	000	2	00	16		143
10	000	2	00	17		109
10	000	2	00	18		116
10	000	2	00	19		109
10	000	2	00	20		119
10	000	2	00	21		128
10	000	2	00	22		148
10	000	2	00	23		114
10	000	2	00	24		99
10	000	2	00	25		132
10	000	2	00	26		136
10	000	2	00	27		138
10	000	2	00	28		105
10	000	2	00	29		198
10	000	2	00	30		188
10	011	2	10	31		82
11	000	2	00	0		148
11	000	2	00	1		127
11	000	2	00	2		156
11	000	2	00	3		117
11	000	2	00	4		574
11	000	2	00	5		90
11	000	2	00	6		154
11	000	2	00	7		93
11	000	2	00	8		90
11	000	2	00	9		112
11	000	2	00	10		151
11	000	2	00	11		111
11	000	2	00	12		148
11	000	2	00	13		110
11	000	2	00	14		117
11	000	2	00	15		126
11	000	2	00	16		144
11	000	2	00	17		109
11	000	2	00	18		116
11	000	2	00	19		102
11	000	2	00	20		118
11	000	2	00	21		126
11	000	2	00	22		152
11	000	2	00	23		111
11	000	2	00	24		93
11	000	2	00	25		133
11	000	2	00	26		132
11	000	2	00	27		142
11	000	2	00	28		103
11	000	2	00	29		197
11	000	2	00	30		188
11	011	2	10	31		77
12	000	2	00	0		145
12	000	2	00	1		125
12	000	2	00	2		100
12	000	2	00	3		117
12	000	2	00	4		632
12	000	2	00	5		88
12	000	2	00	6		151
12	000	2	00	7		90
12	000	2	00	8		86
12	000	2	00	9		108
12	000	2	00	10		145
12	000	2	00	11		112
12	000	2	00	12		146
12	000	2	00	13		111
12	000	2	00	14		116
12	000	2	00	15		124
12	000	2	00	16		142
12	000	2	00	17		110
12	000	2	00	18		120
12	000	2	00	19		106
12	000	2	00	20		113
12	000	2	00	21		123
12	000	2	00	22		152
12	000	2	00	23		114
12	000	2	00	24		95
12	000	2	00	25		134
12	000	2	00	26		135
12	000	2	00	27		141
12	000	2	00	28		104
12	000	2	00	29		193
12	000	2	00	30		189
12	011	2	10	31		80
13	000	2	00	0		150
13	000	2	00	1		133
13	000	2	00	2		106
13	000	2	00	3		221
13	000	2	00	4		410
13	000	2	00	5		96
13	000	2	00	6		157
13	000	2	00	7		99
13	000	2	00	8		88
13	000	2	00	9		108
13	000	2	00	10		146
13	000	2	00	11		115
